Date,Value
1960,25.72549
1961,24.71532
1962,23.705154
1963,30.24077
1964,36.77638
1965,43.312
1966,49.84761
1967,56.383224
1968,57.6811
1969,58.97897
1970,60.27684
1971,61.57471
1972,62.872583
1973,63.3705
1974,63.86842
1975,64.36634
1976,64.86426
1977,65.362185
1978,65.799
1979,66.23581
1980,66.67262
1981,67.10944
1982,67.546248
1983,67.93299
1984,68.31974
1985,68.70649
1986,69.09324
1987,69.479979
1988,69.82562
1989,70.17126
1990,70.51691
1991,70.86255
1992,71.208196
1993,71.51991
1994,71.83161
1995,72.14332
1996,72.45502
1997,72.766728
1998,73.85738
1999,74.94803
2000,76.03868
2001,77.12933
2002,78.219972
2003,78.58189
2004,78.94382
2005,79.30574
2006,79.66766
2007,80.029577
2008,80.32228
2009,80.61499
2010,80.9077
2011,81.20041
2012,81.493113
2013,81.768283
2014,
