Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,21.5934505462646
1975,21.2599601745605
1976,24.3945999145508
1977,24.68922996521
1978,26.760290145874
1979,25.3997497558594
1980,26.2217197418213
1981,
1982,
1983,
1984,
1985,
1986,
1987,31.8544902801514
1988,
1989,
1990,
1991,
1992,
1993,
1994,30.1942596435547
1995,
1996,
1997,
1998,
1999,
2000,
2001,45.372989654541
2002,45.3729095458984
2003,44.3989715576172
2004,43.5764198303223
2005,42.5156707763672
2006,41.6107406616211
2007,42.5077514648438
2008,43.144359588623
2009,44.4198913574219
2010,44.659538269043
2011,45.1257781982422
2012,
2013,
2014,
