Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,4.09999990463257
1992,3.70000004768372
1993,3.59999990463257
1994,3.59999990463257
1995,3.79999995231628
1996,3.79999995231628
1997,3.90000009536743
1998,4
1999,3.90000009536743
2000,3.79999995231628
2001,3.79999995231628
2002,3.70000004768372
2003,3.59999990463257
2004,3.59999990463257
2005,3.40000009536743
2006,3.29999995231628
2007,3.09999990463257
2008,3.59999990463257
2009,3.59999990463257
2010,3.40000009536743
2011,3.59999990463257
2012,3.70000004768372
2013,3.79999995231628
2014,
