Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,5.5
1992,5
1993,4.90000009536743
1994,4.90000009536743
1995,5.09999990463257
1996,5.19999980926514
1997,5.19999980926514
1998,5.30000019073486
1999,5.30000019073486
2000,5.09999990463257
2001,5.09999990463257
2002,5
2003,4.90000009536743
2004,4.90000009536743
2005,4.69999980926514
2006,4.5
2007,4.30000019073486
2008,5
2009,5
2010,4.80000019073486
2011,4.90000009536743
2012,5.09999990463257
2013,5.19999980926514
2014,
