Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,4.90000009536743
1992,4.40000009536743
1993,4.30000019073486
1994,4.30000019073486
1995,4.5
1996,4.59999990463257
1997,4.59999990463257
1998,4.69999980926514
1999,4.69999980926514
2000,4.5
2001,4.5
2002,4.40000009536743
2003,4.30000019073486
2004,4.30000019073486
2005,4.09999990463257
2006,4
2007,3.79999995231628
2008,4.40000009536743
2009,4.40000009536743
2010,4.19999980926514
2011,4.30000019073486
2012,4.5
2013,4.59999990463257
2014,
