Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,7.40000009536743
1992,6.69999980926514
1993,6.69999980926514
1994,6.90000009536743
1995,7.30000019073486
1996,7.40000009536743
1997,7.5
1998,7.80000019073486
1999,7.80000019073486
2000,7.59999990463257
2001,7.69999980926514
2002,7.5
2003,7.30000019073486
2004,7.30000019073486
2005,7
2006,6.80000019073486
2007,6.5
2008,7.40000009536743
2009,7.5
2010,7.30000019073486
2011,7.5
2012,7.80000019073486
2013,8.10000038146973
2014,
