Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,10.6000003814697
1992,9.60000038146973
1993,9.60000038146973
1994,9.80000019073486
1995,10.3999996185303
1996,10.6000003814697
1997,10.8000001907349
1998,11.1999998092651
1999,11.1999998092651
2000,10.8999996185303
2001,11
2002,10.6999998092651
2003,10.3999996185303
2004,10.3999996185303
2005,10.1000003814697
2006,9.69999980926514
2007,9.19999980926514
2008,10.6000003814697
2009,10.8000001907349
2010,10.3999996185303
2011,10.8000001907349
2012,11.3000001907349
2013,11.6999998092651
2014,
