Date,Value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,9
1992,8.19999980926514
1993,8.19999980926514
1994,8.39999961853027
1995,8.89999961853027
1996,9.10000038146973
1997,9.19999980926514
1998,9.60000038146973
1999,9.60000038146973
2000,9.30000019073486
2001,9.39999961853027
2002,9.19999980926514
2003,8.89999961853027
2004,8.89999961853027
2005,8.60000038146973
2006,8.30000019073486
2007,8
2008,9.10000038146973
2009,9.30000019073486
2010,9
2011,9.30000019073486
2012,9.69999980926514
2013,10.1000003814697
2014,
