Date,Value
1960,4.93549473168107
1961,2.0535955782573
1962,3.87367811011942
1963,5.49364102057992
1964,5.32734351055203
1965,1.21054285461748
1966,1.83735115939042
1967,1.84240345667628
1968,1.88292890180956
1969,2.01239514705866
1970,2.02873595918483
1971,2.12429188312895
1972,1.83083167159415
1973,2.28339576291405
1974,2.69247959731461
1975,2.38901572313462
1976,1.89157239197393
1977,1.70583298538571
1978,3.48394507218723
1979,5.26137093097064
1980,5.15728370456645
1981,5.13186895071821
1982,5.29566624595188
1983,4.47484202161229
1984,4.3204330245138
1985,4.33904712359308
1986,4.4381005931631
1987,4.5315822084455
1988,4.51483099420354
1989,4.4026320383107
1990,4.30967848070248
1991,4.60168513214318
1992,4.42511729026799
1993,4.30154774283787
1994,4.24584059723498
1995,4.15963799418302
1996,4.08605174394273
1997,4.00828550795805
1998,3.90807856569896
1999,3.77008872976608
2000,3.64925271115854
2001,4.05956575767596
2002,4.19800114764631
2003,4.07840352649768
2004,3.97537212954358
2005,3.88247297575862
2006,3.67472809325703
2007,3.51125555182775
2008,3.43395768889026
2009,3.33810246782671
2010,3.25536549409244
2011,3.1787402987715
2012,3.05612962906583
2013,2.9286985093024
2014,
