Date,Value
1960,108085352
1961,110327936
1962,114685540
1963,121162226
1964,127791981
1965,129348359
1966,131746910
1967,134196718
1968,136747486
1969,139527262
1970,142386810
1971,145443877
1972,148131235
1973,151552570
1974,155688522
1975,159452730
1976,162497601
1977,165293316
1978,171153535
1979,180399661
1980,189947471
1981,199949784
1982,210823843
1983,220472140
1984,230206255
1985,240414890
1986,251325056
1987,262976051
1988,275121076
1989,287504237
1990,300165618
1991,314301034
1992,328521540
1993,342961393
1994,357836540
1995,373035157
1996,388593258
1997,404485562
1998,420606126
1999,436766058
2000,452999147
2001,471767321
2002,491993700
2003,512473984
2004,533257098
2005,554367818
2006,575118254
2007,595670841
2008,616481190
2009,637407288
2010,658498663
2011,679766865
2012,700862129
2013,721691798
2014,
